date,sentiment,n_trades,total_volume,avg_leverage,win_rate,avg_pnl
2024-03-15,Extreme Greed,62,62,502.81406972580646,502.81406972580646,502.81406972580646
2024-03-16,Extreme Greed,8,8,2750.4022475,2750.4022475,2750.4022475
2024-03-17,Extreme Greed,23,23,2191.606,2191.606,2191.606
2024-03-18,Extreme Greed,19,19,2238.5484684210523,2238.5484684210523,2238.5484684210523
2024-03-19,Extreme Greed,24,24,575.3537,575.3537,575.3537
2024-03-20,Greed,69,69,193.64368536231885,193.64368536231885,193.64368536231885
2024-03-21,Extreme Greed,28,28,124.34982285714285,124.34982285714285,124.34982285714285
2024-03-24,Greed,19,19,8.960757894736842,8.960757894736842,8.960757894736842
2024-03-25,Extreme Greed,7,7,3582.2999999999997,3582.2999999999997,3582.2999999999997
2024-03-26,Extreme Greed,118,118,219.49172627118645,219.49172627118645,219.49172627118645
2024-03-27,Extreme Greed,38,38,13627.738306315789,13627.738306315789,13627.738306315789
2024-03-28,Extreme Greed,13,13,803.983042,803.983042,803.983042
2024-03-29,Extreme Greed,15,15,3541.54,3541.54,3541.54
2024-03-30,Extreme Greed,45,45,0.19727666666666666,0.19727666666666666,0.19727666666666666
2024-03-31,Extreme Greed,13,13,3627.730769230769,3627.730769230769,3627.730769230769
2024-04-01,Extreme Greed,77,77,1332.2278167402596,1332.2278167402596,1332.2278167402596
2024-04-02,Extreme Greed,41,41,3060.7089024390243,3060.7089024390243,3060.7089024390243
2024-04-03,Greed,4,4,8.3283,8.3283,8.3283
2024-04-04,Greed,32,32,3401.434375,3401.434375,3401.434375
2024-04-05,Extreme Greed,100,100,330.28005890000003,330.28005890000003,330.28005890000003
2024-04-06,Extreme Greed,16,16,3328.08125,3328.08125,3328.08125
2024-04-07,Extreme Greed,23,23,3398.0043478260873,3398.0043478260873,3398.0043478260873
2024-04-08,Extreme Greed,30,30,3295.5374166666666,3295.5374166666666,3295.5374166666666
2024-04-09,Extreme Greed,3,3,3501.3000000000006,3501.3000000000006,3501.3000000000006
2024-04-10,Extreme Greed,41,41,3433.4707317073166,3433.4707317073166,3433.4707317073166
2024-04-11,Extreme Greed,16,16,3521.2125,3521.2125,3521.2125
2024-04-12,Extreme Greed,129,129,555.2924815968992,555.2924815968992,555.2924815968992
2024-04-13,Greed,89,89,658.6612459887641,658.6612459887641,658.6612459887641
2024-04-14,Greed,107,107,1787.6264255140186,1787.6264255140186,1787.6264255140186
2024-04-15,Greed,41,41,230.87443634146342,230.87443634146342,230.87443634146342
2024-04-16,Greed,47,47,0.8237938510638297,0.8237938510638297,0.8237938510638297
2024-04-17,Greed,14,14,4.993378571428572,4.993378571428572,4.993378571428572
2024-04-19,Greed,35,35,3065.0228571428574,3065.0228571428574,3065.0228571428574
2024-04-20,Greed,22,22,285.09828863636363,285.09828863636363,285.09828863636363
2024-04-22,Greed,9,9,3202.222222222222,3202.222222222222,3202.222222222222
2024-04-23,Greed,66,66,2616.430871212121,2616.430871212121,2616.430871212121
2024-04-24,Greed,20,20,3230.17,3230.17,3230.17
2024-04-25,Greed,74,74,251.67034283783786,251.67034283783786,251.67034283783786
2024-04-26,Greed,3,3,0.12152,0.12152,0.12152
2024-04-27,Greed,27,27,3258.651851851852,3258.651851851852,3258.651851851852
2024-04-28,Greed,58,58,451.9867443103448,451.9867443103448,451.9867443103448
2024-04-29,Greed,45,45,2245.884760888889,2245.884760888889,2245.884760888889
2024-04-30,Greed,24,24,3023.15,3023.15,3023.15
2024-05-01,Neutral,14,14,2916.8142857142857,2916.8142857142857,2916.8142857142857
2024-05-03,Neutral,36,36,1960.4601549999998,1960.4601549999998,1960.4601549999998
2024-05-04,Greed,9,9,2089.1695403333333,2089.1695403333333,2089.1695403333333
2024-05-05,Greed,6,6,2099.545833333333,2099.545833333333,2099.545833333333
2024-05-06,Greed,9,9,3109.866666666667,3109.866666666667,3109.866666666667
2024-05-07,Greed,18,18,1715.215231,1715.215231,1715.215231
2024-05-08,Greed,13,13,2312.7117384615385,2312.7117384615385,2312.7117384615385
2024-05-09,Greed,28,28,2667.6832657142854,2667.6832657142854,2667.6832657142854
2024-05-10,Greed,22,22,2946.254545454545,2946.254545454545,2946.254545454545
2024-05-11,Neutral,9,9,2922.511111111111,2922.511111111111,2922.511111111111
2024-05-12,Greed,23,23,1272.34931,1272.34931,1272.34931
2024-05-13,Greed,28,28,2635.7705885714286,2635.7705885714286,2635.7705885714286
2024-05-14,Greed,23,23,2912.1304347826085,2912.1304347826085,2912.1304347826085
2024-05-15,Greed,36,36,2930.625,2930.625,2930.625
2024-05-16,Greed,27,27,2656.364285925926,2656.364285925926,2656.364285925926
2024-05-18,Greed,25,25,3123.796,3123.796,3123.796
2024-05-19,Greed,8,8,3079.425,3079.425,3079.425
2024-05-20,Greed,10,10,2156.14175,2156.14175,2156.14175
2024-05-21,Extreme Greed,125,125,14134.35288,14134.35288,14134.35288
2024-05-22,Extreme Greed,6,6,3733.3333333333335,3733.3333333333335,3733.3333333333335
2024-05-23,Extreme Greed,325,325,1108.603136243077,1108.603136243077,1108.603136243077
2024-05-24,Greed,2,2,3844.4,3844.4,3844.4
2024-05-25,Extreme Greed,16,16,469.7218425,469.7218425,469.7218425
2024-05-26,Extreme Greed,16,16,496.56757500000003,496.56757500000003,496.56757500000003
2024-05-27,Greed,251,251,33.197340745019915,33.197340745019915,33.197340745019915
2024-05-29,Greed,164,164,4235.211447786585,4235.211447786585,4235.211447786585
2024-05-30,Greed,7,7,20348.618645714287,20348.618645714287,20348.618645714287
2024-05-31,Greed,13,13,2.152072923076923,2.152072923076923,2.152072923076923
2024-06-01,Greed,25,25,1.1308718,1.1308718,1.1308718
2024-06-02,Greed,93,93,1.0599227956989248,1.0599227956989248,1.0599227956989248
2024-06-03,Greed,70,70,1.3030562857142858,1.3030562857142858,1.3030562857142858
2024-06-04,Greed,53,53,13394.864554716982,13394.864554716982,13394.864554716982
2024-06-05,Extreme Greed,54,54,2682.9926944444446,2682.9926944444446,2682.9926944444446
2024-06-06,Extreme Greed,234,234,30.647596965811967,30.647596965811967,30.647596965811967
2024-06-07,Extreme Greed,440,440,1232.3513694545454,1232.3513694545454,1232.3513694545454
2024-06-08,Greed,29,29,10513.408993103449,10513.408993103449,10513.408993103449
2024-06-09,Extreme Greed,17,17,1091.865705882353,1091.865705882353,1091.865705882353
2024-06-10,Greed,53,53,280.7776811320755,280.7776811320755,280.7776811320755
2024-06-11,Greed,123,123,8924.726208861788,8924.726208861788,8924.726208861788
2024-06-12,Greed,254,254,1364.4425952755905,1364.4425952755905,1364.4425952755905
2024-06-13,Greed,79,79,180.8725936708861,180.8725936708861,180.8725936708861
2024-06-14,Greed,31,31,1759.0960645161292,1759.0960645161292,1759.0960645161292
2024-06-15,Greed,78,78,2138.914496153846,2138.914496153846,2138.914496153846
2024-06-16,Greed,11,11,4.114990909090909,4.114990909090909,4.114990909090909
2024-06-17,Greed,38,38,1595.9607578947368,1595.9607578947368,1595.9607578947368
2024-06-18,Greed,25,25,2787.8253600000003,2787.8253600000003,2787.8253600000003
2024-06-19,Greed,61,61,1563.7263098360656,1563.7263098360656,1563.7263098360656
2024-06-20,Greed,39,39,374.05558,374.05558,374.05558
2024-06-21,Greed,80,80,877.39821875,877.39821875,877.39821875
2024-06-22,Neutral,24,24,1765.2402375,1765.2402375,1765.2402375
2024-06-23,Greed,5,5,3.09,3.09,3.09
2024-06-24,Neutral,31,31,2708.8659548387095,2708.8659548387095,2708.8659548387095
2024-06-25,Fear,49,49,3.248285714285714,3.248285714285714,3.248285714285714
2024-06-26,Neutral,72,72,1472.1298,1472.1298,1472.1298
2024-06-27,Fear,30,30,1362.6499733333333,1362.6499733333333,1362.6499733333333
2024-06-29,Fear,75,75,767.398007192,767.398007192,767.398007192
2024-06-30,Neutral,14,14,724.8069907142857,724.8069907142857,724.8069907142857
2024-07-01,Neutral,64,64,1312.7375605675,1312.7375605675,1312.7375605675
